statefips,state,state_name,total,top_01,top_05,top_10,top_25,top_50,top_75,agi_01,agi_05,agi_10,agi_25,agi_50,agi_75,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_25,sum_agi_50,sum_agi_75,total_sal_num,total_sal_amt,num_sal_01,sum_sal_01,num_sal_05,sum_sal_05,num_sal_10,sum_sal_10,num_sal_25,sum_sal_25,num_sal_50,sum_sal_50,num_sal_75,sum_sal_75,total_int_num,total_int_amt,num_int_01,sum_int_01,num_int_05,sum_int_05,num_int_10,sum_int_10,num_int_25,sum_int_25,num_int_50,sum_int_50,num_int_75,sum_int_75,total_div_num,total_div_amt,num_div_01,sum_div_01,num_div_05,sum_div_05,num_div_10,sum_div_10,num_div_25,sum_div_25,num_div_50,sum_div_50,num_div_75,sum_div_75,total_businc_num,total_businc_amt,num_businc_01,sum_businc_01,num_businc_05,sum_businc_05,num_businc_10,sum_businc_10,num_businc_25,sum_businc_25,num_businc_50,sum_businc_50,num_businc_75,sum_businc_75,total_cpgain_num,total_cpgain_amt,num_cpgain_01,sum_cpgain_01,num_cpgain_05,sum_cpgain_05,num_cpgain_10,sum_cpgain_10,num_cpgain_25,sum_cpgain_25,num_cpgain_50,sum_cpgain_50,num_cpgain_75,sum_cpgain_75,total_iradist_num,total_iradist_amt,num_iradist_01,sum_iradist_01,num_iradist_05,sum_iradist_05,num_iradist_10,sum_iradist_10,num_iradist_25,sum_iradist_25,num_iradist_50,sum_iradist_50,num_iradist_75,sum_iradist_75,total_pension_num,total_pension_amt,num_pension_01,sum_pension_01,num_pension_05,sum_pension_05,num_pension_10,sum_pension_10,num_pension_25,sum_pension_25,num_pension_50,sum_pension_50,num_pension_75,sum_pension_75,total_scorp_num,total_scorp_amt,num_scorp_01,sum_scorp_01,num_scorp_05,sum_scorp_05,num_scorp_10,sum_scorp_10,num_scorp_25,sum_scorp_25,num_scorp_50,sum_scorp_50,num_scorp_75,sum_scorp_75,total_tax,sum_tax_01,sum_tax_05,sum_tax_10,sum_tax_25,sum_tax_50,sum_tax_75
0,US,United States,138299784,1382998,6914989,13829978,34574946,69149892,103724838,482050,197151,138844,80650,40121,19367,10282090256,2071490394,3614030511,4742503247,6909524319,8904033462,9905266420,114612046,6990636993,1174903,793194736,6089009,1851834489,12255387,2692520782,30360529,4326977941,60201551,5887780176,89859788,6711576627,40991530,89020643,1277212,43430479,5439453,55545150,9732546,61922210,19815411,72632715,30366568,81529845,36023125,85767935,26245689,249233297,1130935,120327082,4558332,164483150,7670179,185484617,14143581,215443478,20310487,236037325,23497179,243994961,23692624,345335943,375443,53753279,1709436,121665437,3134580,155941490,6844751,208681502,11810667,258594963,16270232,296136088,22872757,680405928,1170615,511299998,4494740,592835439,7297085,622284392,12844887,655949653,18000967,673583975,20614335,678774673,13822054,247729569,211080,14357362,1158872,59291129,2313404,96412059,5539802,165235142,9287930,214652525,11625668,235715518,27670735,680076843,237056,13945110,1572912,86544347,3532478,174538828,9523716,379340028,17383836,562747118,22779417,642417558,8329167,668869843,857345,455646259,2478462,582065053,3534819,615709314,5369053,648294077,6941225,664487898,7748310,668855840,1454272829,570848823,866522258,1025302276,1256212011,1411338132,1451067804
1,AL,Alabama,1910746,19107,95537,191075,477687,955373,1433060,350539.65,160026.75,117699,70042,34588,17268,112737661,16653578,33065941,46017885,71922343,95693441,107728420,1594802,79434263,16430,6394152,84563,17514650,169898,27242142,419401,46846768,832010,65708772,1239285,75730986,485697,742032,17029,251341,69663,370888,122910,436647,245568,555361,365057,652128,431162,702396,255234,1688690,14117,651268,52029,1008667,84313,1178657,147863,1425147,203300,1584813,231844,1646930,330568,3245294,5983,613074,24099,1268906,42516,1534905,92829,1989773,160446,2354725,222544,2564920,214649,4193006,14345,2925494,49280,3534276,76695,3755031,129023,4017032,173262,4144568,195270,4182044,169267,2772433,3411,195510,17717,773565,33183,1179355,73518,1914003,116604,2409157,144235,2636264,417562,10046092,4039,255859,30004,1606624,62700,2915689,154147,5777710,268845,8302450,353206,9541913,90475,6682224,12684,4886754,32096,6011305,43478,6284228,62631,6549592,77947,6667310,85134,6689888,13189436,4458988,7194046,8833757,11286036,12831614,13165347
2,AK,Alaska,328265,3283,16413,32827,82066,164133,246199,422568.4,199602,150974,94535,50073,24625,25089689,3144179,6608472,9426570,15252236,20996367,23986318,283818,17482680,2838,1116056,14618,3385143,29622,5477828,73716,9845020,145715,14250330,219107,16673049,87269,142950,3002,41730,12134,68334,21164,82382,42161,105164,66192,127636,78327,136743,78998,374245,2427,99098,9478,165690,16226,200252,32162,260758,52135,319242,65395,349259,54221,936222,937,151231,4400,349503,8180,442288,18596,611073,32230,770604,42466,873738,49015,810066,2489,423584,9007,593792,14632,658633,26465,742411,38806,790830,44702,805523,22917,454151,480,31040,2540,125406,4770,194845,10643,317254,17357,409344,20597,440478,63340,2017405,754,45943,5188,308713,10765,577917,26018,1201423,44805,1763194,55558,1950374,18181,1606146,2069,1145279,5514,1414829,7646,1485314,11562,1561208,15175,1597762,16914,1607921,3550531,933332,1613327,2061048,2795119,3353498,3527624
4,AZ,Arizona,2726792,27268,136340,272679,681698,1363396,2045094,396201.36,175808,126103.9,74061,36934.5,18796,175677348,28215608,54465430,74512222,113710982,149705538,168281052,2222372,119220218,22922,11216684,117252,28614752,233698,42728045,574990,70843688,1150930,98567072,1733307,113853216,638392,1457376,23888,585358,95058,823422,163532,947028,317198,1156501,471338,1320952,554408,1395584,462604,3757028,20145,1440945,80430,2166433,135220,2548168,249851,3112282,355162,3492696,408861,3641741,430935,5593582,7638,785881,32764,1713322,60325,2242176,130715,3106936,221263,3968610,298393,4671090,437030,8950446,21777,6067700,82785,7433433,135664,7972543,241740,8580867,337986,8862803,386986,8934901,293921,5621860,4528,352864,25721,1430791,52612,2318448,124350,3884305,201143,4915337,247334,5352797,579960,14286947,5489,339844,37533,2061888,83690,4059341,216892,8497460,377665,12070922,481372,13541446,156013,10015050,16538,6462127,46558,8456863,66444,9042031,101339,9641874,130143,9944030,144176,10019814,22060545,7608889,12244353,14929210,18861716,21384054,22004291
5,AR,Arkansas,1144275,11443,57214,114428,286069,572138,858206,344502.78,153795.5,112050,66538,33678,17074,67499912,12140495,21742820,29149334,43878165,57568160,64633825,957060,45504049,10056,3925455,50631,10389035,100868,15783244,249116,26734493,497511,37579537,743381,43400356,275633,457237,10067,173835,40700,242719,70541,282041,137282,349240,203368,404373,241581,433366,161179,3680037,8172,3093593,31666,3288458,51404,3380335,90903,3520875,125911,3612283,145175,3652352,190321,1938990,3517,241010,14262,550838,25781,709644,56821,1002148,97406,1304887,132059,1562441,142935,2478185,8404,1580640,30293,1977136,47809,2136562,81994,2329419,112086,2432293,128528,2466054,104665,1640865,1798,99981,10034,419247,19641,664356,44970,1109118,71474,1409298,89004,1556257,233217,4986667,2010,119683,14795,730859,33013,1420698,85162,2901078,148935,4132951,194789,4716367,63787,3848776,7268,2520076,20290,3300392,28605,3519363,42413,3734193,53775,3827602,59412,3849910,7949835,3095686,4661358,5556924,6889377,7733022,7934168
6,CA,California,16605576,166056,830279,1660558,4151394,8302788,12454182,582555,230702,158605,86401,41153,19758,1409481641,324482451,545011894,701624855,989446525,1240499577,1362835712,13689546,941831998,137369,124960805,720957,275673453,1456154,392512534,3598586,609317833,7156610,807274541,10732055,908065253,5527445,12075545,156041,5961181,702040,7759678,1310857,8675220,2816799,10154768,4321493,11265273,5000802,11732751,2982817,33997782,135585,17054768,564394,22933416,951331,25769352,1727282,29840545,2399555,32461094,2710770,33384126,3203392,57634141,40852,7780615,202015,17892691,385446,23707468,866450,32982127,1518999,42175189,2142613,49669856,2857921,118833247,143490,92219769,583678,106553893,960130,111263312,1686616,116053984,2310253,118154732,2602367,118683322,1318376,26889043,22647,1579766,119074,6312618,240274,10556299,582428,18625678,947037,23893540,1141883,25821071,2611596,77392081,24521,1511378,153347,9531736,352993,20501952,983310,46555167,1758604,67085996,2217426,74240694,981670,94730961,99183,63236953,299088,82333276,430942,87308556,653324,92006830,831768,94181247,918261,94722649,212329259,86831030,132186380,155223749,187743430,207369779,211908898
8,CO,Colorado,2424507,24245,121225,242451,606127,1212254,1818380,496592.1,212681.7,151377.4,88733,45353,22539,191363357,33062441,61688922,83144023,124698058,163667546,183768053,2040701,129045018,20358,11530391,106440,30093983,215011,45668687,533642,76651565,1055262,106630232,1583049,123225011,759767,1791631,22538,915834,96123,1152966,172020,1278597,352495,1483224,554169,1653539,664731,1731406,526924,4363513,19490,1683544,81689,2547981,142252,2973857,272366,3605707,401989,4062906,468681,4241672,439763,6650611,6864,732221,31858,1843200,60018,2540440,135945,3735440,237376,4938226,320568,5830398,493021,14275430,20929,9519795,85138,11721673,143941,12596667,264261,13557726,381202,14063397,440449,14213034,246079,4539324,3423,204197,19274,931232,39139,1590250,96649,2902749,167204,3901582,207760,4302102,456220,12265883,3875,194666,25936,1325823,58888,2845746,160155,6640082,297109,10297054,382167,11652897,213741,13422970,16699,7245996,54159,10509557,81180,11566876,130775,12699869,175318,13283567,197239,13428407,27106310,9095261,14706713,17904873,22636177,25964228,26990804
9,CT,Connecticut,1604643,16046,80232,160464,401161,802322,1203482,781236.62,262346,176495,100914,50915,23430.5,168814963,45366148,71517963,88437183,120061393,149280689,163765581,1322707,110643190,13594,19188903,70451,37124858,142622,49662103,355041,73448250,696176,95438662,1036749,107004465,585024,1919869,15466,1185412,67809,1405515,123326,1504381,261890,1664187,426161,1808072,514863,1875014,430974,5537162,14763,2816431,62963,3800564,110183,4236601,214298,4833400,326047,5273112,384597,5441354,268222,6572538,3996,1086111,21632,2594869,40524,3411926,88826,4526101,148469,5450556,196966,6061356,350270,14439122,14876,11445085,61535,12962235,102746,13461714,186197,14022381,271879,14325715,315973,14418380,202780,3935340,2218,191413,13578,844046,28487,1411848,71450,2476928,130295,3365081,167480,3733156,343070,8942325,2432,161431,15731,857534,37301,1880635,108026,4569472,210430,7329228,278779,8415381,101761,12122457,10288,8227546,31608,10708453,44709,11302259,66398,11792834,85531,12035574,95329,12112329,29280094,13138428,19106960,21809036,25626146,28387448,29205536
10,DE,Delaware,419506,4195,20975,41951,104877,209753,314630,390193.75,184408,136758,83347,42491,20844,28941418,4081573,8185610,11481625,18138168,24482993,27716252,345960,19807166,3589,1747741,18532,4526940,37126,6919981,90931,11671245,179039,16345686,267801,18911441,123319,173804,3777,44084,15768,71349,27961,88253,57584,120367,90603,150059,108730,163995,87833,682552,3435,286724,13982,407819,23699,470130,45242,566956,67301,638676,78726,665820,53362,716118,1002,96046,4378,228407,7815,290549,17314,405256,29299,527875,38776,619811,69505,1142690,3425,743702,12751,921048,20728,992822,37527,1078686,54334,1127230,62776,1140133,52028,953021,797,53846,4476,225295,8797,362364,21016,630674,35603,830901,44555,911452,106883,2775771,987,62280,6696,376266,14362,721592,37541,1541109,68248,2292873,88866,2620010,21929,1469189,2345,987242,6204,1250219,8663,1315346,13492,1396312,18042,1448298,20348,1465286,3684585,1083261,1816398,2273886,2994241,3526810,3670907
11,DC,District of Columbia,331702,3317,16585,33170,82926,165851,248777,710781.38,271218.95,181224.4,94640,49806,23843.25,32513344,7466766,12708601,16345136,22722633,28432679,31453616,285924,22011602,2398,2160478,13986,5654739,28875,8461707,73447,13653223,147798,18543863,221269,21162350,92471,204321,3172,112800,13773,142871,25045,158019,50317,181837,74115,195373,85433,201023,74804,859658,3000,374284,12756,574799,22792,668922,43529,781098,62051,832920,70219,850711,59056,1285181,980,281010,4846,606772,8892,772716,18089,980846,29545,1098887,40584,1169147,65035,3125905,3028,2442902,12424,2799623,21622,2932323,39573,3056478,54745,3104059,61322,3120369,18768,448220,603,57946,2941,181066,5302,258967,10252,360641,14595,416765,16935,436939,47857,1747186,694,56547,3640,280347,6982,497239,16116,955778,28794,1406381,39689,1659428,16117,2405372,2361,1767666,6229,2251731,8638,2335288,12042,2385763,14224,2402098,15316,2405520,5638525,2017861,3194032,3815759,4764807,5437918,5622750
