statefips,state,state_name,total,top_01,top_05,top_10,top_25,top_50,top_75,agi_01,agi_05,agi_10,agi_25,agi_50,agi_75,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_25,sum_agi_50,sum_agi_75,total_sal_num,total_sal_amt,num_sal_01,sum_sal_01,num_sal_05,sum_sal_05,num_sal_10,sum_sal_10,num_sal_25,sum_sal_25,num_sal_50,sum_sal_50,num_sal_75,sum_sal_75,total_int_num,total_int_amt,num_int_01,sum_int_01,num_int_05,sum_int_05,num_int_10,sum_int_10,num_int_25,sum_int_25,num_int_50,sum_int_50,num_int_75,sum_int_75,total_div_num,total_div_amt,num_div_01,sum_div_01,num_div_05,sum_div_05,num_div_10,sum_div_10,num_div_25,sum_div_25,num_div_50,sum_div_50,num_div_75,sum_div_75,total_businc_num,total_businc_amt,num_businc_01,sum_businc_01,num_businc_05,sum_businc_05,num_businc_10,sum_businc_10,num_businc_25,sum_businc_25,num_businc_50,sum_businc_50,num_businc_75,sum_businc_75,total_cpgain_num,total_cpgain_amt,num_cpgain_01,sum_cpgain_01,num_cpgain_05,sum_cpgain_05,num_cpgain_10,sum_cpgain_10,num_cpgain_25,sum_cpgain_25,num_cpgain_50,sum_cpgain_50,num_cpgain_75,sum_cpgain_75,total_ira_pension_num,total_ira_pension_amt,num_ira_pension_01,sum_ira_pension_01,num_ira_pension_05,sum_ira_pension_05,num_ira_pension_10,sum_ira_pension_10,num_ira_pension_25,sum_ira_pension_25,num_ira_pension_50,sum_ira_pension_50,num_ira_pension_75,sum_ira_pension_75,total_scorp_num,total_scorp_amt,num_scorp_01,sum_scorp_01,num_scorp_05,sum_scorp_05,num_scorp_10,sum_scorp_10,num_scorp_25,sum_scorp_25,num_scorp_50,sum_scorp_50,num_scorp_75,sum_scorp_75,total_tax,sum_tax_01,sum_tax_05,sum_tax_10,sum_tax_25,sum_tax_50,sum_tax_75
00,US,United States,141787679,1417877.00,7089384.00,14178768.0,35446920.00,70893840.0,106340759.00,545978,219840,153166,88126,44556,21997,11737993697,2406145830,4191154945,5472599388,7906742864,10154390943,11303969805,116872013,7786684839,1190083,856091566,6152219,2034044653,12371202,2961513632,30695846,4764373661,61074067,6507616796,91595757,7460729130,44778776,121552469,1338973,62584090,5871552,79586802,10581236,88275400,21612644,102082129,33206015,112911473,39360947,117766999,27339004,311842611,1180499,152848860,4838688,211363701,8167321,238308004,14977324,274498477,21391156,297949259,24589282,306380824,25493158,367351817,394685,55293043,1783721,127410533,3283557,165074457,7219123,222437871,12558819,276345049,17476011,315930026,24155037,905020287,1216264,651002029,4773778,773683447,7809095,818975273,13746661,869109802,19209993,894680585,21892849,902132397,34100270,1071036422,399499,35696784,2283014,177798147,4794735,326432746,12133278,642860108,21583556,905953843,27880205,1014508431,8603857,735253593,872919,484834532,2556517,634562932,3661432,674821011,5542225,712408834,7143766,730681580,7979914,735541303,1536802382,613957666,923826418,1093823921,1332425651,1489170395,1532820044
01,AL,Alabama,1912781,19128.00,95639.00,191278.0,478195.00,956391.0,1434586.00,394842,176514,128965,76455,38260,19121,124972553,19115602,37427821,51683500,79969847,106129417,119485851,1584759,86094378,16235,6885702,83260,18799492,167576,29273185,414189,50336171,823262,70828726,1229484,81961793,519040,962147,17516,362670,73300,522367,129976,605602,260045,750759,389538,863848,460432,918836,262554,2159786,14472,893597,54373,1366497,87903,1575166,153607,1870681,210900,2052307,239391,2116836,344302,3435800,6490,626544,25721,1355053,45193,1658802,97821,2172502,169650,2594173,235500,2805344,225667,5409994,14795,3528250,51877,4423050,81205,4757927,136939,5143092,183985,5333709,206421,5386373,492241,14369664,6494,553370,39187,2764616,77963,4700272,183724,8717158,315651,12054542,411564,13644013,92183,7751532,12693,5654306,32707,7003125,44455,7316104,63762,7607176,79429,7741354,86736,7765067,13153075,4465975,7221850,8873394,11238072,12759372,13126748
02,AK,Alaska,318228,3182.00,15911.00,31823.0,79557.00,159114.0,238671.00,444471,210294,159088,98501,52056,25722,25225022,2981184,6529147,9406300,15316084,21099511,24116386,270219,17211946,2654,1056876,13728,3222341,27830,5269215,69411,9558023,137910,13920934,208515,16378829,87186,164360,2919,50535,12022,81465,20855,96855,41851,123290,65557,148060,77843,157428,75703,446209,2430,141769,9650,229756,16414,273224,32270,340578,51264,397587,63674,424494,54257,885625,968,129497,4374,291730,8053,383037,18281,549375,31921,712418,42297,823499,49774,1026611,2480,511447,9169,741908,14915,831417,26999,941454,39365,1002885,45475,1020100,74051,2881483,1112,93662,6766,555221,13294,960104,30842,1820295,52452,2552567,64483,2787842,18351,1382174,2032,878918,5477,1167577,7643,1244473,11609,1329654,15259,1374358,17090,1383059,2966928,739220,1330435,1722088,2348577,2804109,2947901
04,AZ,Arizona,2901531,29015.00,145077.00,290153.0,725383.00,1450766.0,2176148.00,459757,198158,140562,81972,41679,21805,213169058,36792422,68793862,92676467,138856922,181622305,204135231,2344045,139154779,23927,12735070,121711,32713647,243302,48948146,600154,81303729,1206879,113812301,1830439,132523526,751859,1955265,26373,823495,109357,1153495,190280,1322319,372832,1592997,555789,1791285,651858,1878637,506734,5024103,21983,2014863,89587,3060660,151089,3565942,277995,4277051,393396,4731565,449707,4896823,485795,6343572,8296,894504,35846,1980232,66138,2607961,144173,3623475,247752,4632431,336787,5367731,480423,15048690,23739,10122768,92828,12487950,152298,13406632,270952,14404747,376772,14867002,428141,14999029,742797,24064099,9051,885892,53866,4429060,112861,7981877,279851,15212448,480668,20688862,606264,22815007,163402,12343720,17880,7857869,50573,10440795,72024,11199767,108180,11938513,137351,12280422,151301,12355101,24813377,8924031,14081540,17044985,21247895,23964448,24732042
05,AR,Arkansas,1150629,11506.00,57531.00,115063.0,287657.00,575315.0,862972.00,375940,167995,121661,72294,36985,19015,76722038,15862508,26477531,34589764,50640891,65673757,73537786,958585,49475808,10015,4139926,50134,11072611,100078,16885698,247677,28683915,496070,40537087,744644,47106045,295893,695324,10370,341383,43348,436367,75504,485832,147917,570138,219522,635408,259311,668186,162877,4464272,8339,3774760,32655,4018546,52873,4133094,93009,4292819,128452,4394703,147189,4435909,198365,2029454,3593,240686,14766,551932,26909,718270,58924,1028254,101469,1360334,137158,1632011,146764,5409240,8618,4170462,31850,4719858,50243,4936935,85798,5199509,116663,5342899,132647,5389074,278480,7471328,3389,269423,20350,1367602,42221,2430648,104087,4603945,178795,6304140,230147,7066493,65094,3834196,7186,2349724,20864,3238680,29390,3484951,43545,3714439,55002,3815858,60496,3835151,8119529,3373871,4935669,5828028,7080511,7889361,8102874
06,CA,California,16953678,169537.00,847684.00,1695368.0,4238420.00,8476839.0,12715259.00,680687,266020,179192,96717,47181,23276,1644358399,379552281,642762336,825017456,1155088907,1444465856,1589228146,13948328,1083194959,140083,141333090,732343,316883364,1472899,449315592,3644019,694871692,7269282,922097568,10952078,1042808658,6082670,16508657,162659,8252132,748239,10798836,1404951,12097594,3042030,14086048,4711686,15500624,5474831,16070601,3183254,43558874,141608,22046365,607044,29935345,1032827,33749638,1868293,38821334,2580859,41874970,2900418,42893884,3376240,60266186,42241,7780876,204053,18128804,391436,24302676,891708,34066969,1577957,43560375,2239228,51499783,3057352,151601581,148167,112061117,620390,133040936,1032048,140319239,1815087,147406498,2482290,150496361,2791693,151299562,3240637,120854077,41117,3781394,224293,18770775,480303,36792731,1242316,76352640,2173981,105973441,2718661,115907209,1029648,107979520,98917,68916698,305659,92496736,447491,98977596,680459,104773696,865948,107360358,958676,108015156,240933417,100107458,150376498,176938035,213378201,234725150,240319798
08,CO,Colorado,2562022,25620.00,128101.00,256202.0,640506.00,1281011.0,1921517.00,577452,241394,169078,97968,50857,25862,230073663,42160672,77001399,102504018,151204837,196872464,220888711,2137683,149781689,21068,13156901,110591,34667703,223178,52556960,555176,88129878,1102817,122969553,1660032,142781323,890963,2496727,24248,1299706,107765,1647024,195945,1822102,407415,2100742,643684,2323282,776648,2420224,580210,5854434,21027,2325039,89976,3513247,158189,4114562,302935,4950254,445426,5510257,518524,5719266,487605,7603175,7321,759982,34115,1938287,64595,2739921,146567,4134980,257395,5564507,350151,6619669,537476,20895598,22339,13731858,92235,17111539,157464,18441779,290053,19852548,417711,20582299,482417,20803386,588821,19929657,6926,520459,39831,2860034,83900,5509262,213130,11581137,383062,16940470,488624,18931905,224639,16006176,17700,8360713,57531,12436037,86700,13794706,138912,15153719,184563,15822613,207290,16007066,30048062,10492047,16619628,20127901,25214812,28732263,29897178
09,CT,Connecticut,1618799,16188.00,80940.00,161880.0,404700.00,809400.0,1214099.00,818755,284571,189797,107054,54282,25566,179244153,45978142,74178836,92615634,126713105,157952461,173656399,1325415,115628816,13590,19063396,70111,37647519,141309,50790356,351391,75698239,690966,98874698,1036036,111534533,587635,3315704,15715,2377618,70451,2673740,127989,2807271,267539,3014378,430549,3190057,517530,3263532,427112,6485208,14929,3345134,64432,4552828,112750,5079095,217913,5761818,328110,6227806,383441,6391877,278921,6709208,4375,1007233,22500,2571349,41948,3412979,91419,4589958,152687,5528282,204035,6153563,352737,17352721,14991,13035052,62144,15176921,104639,15939899,190445,16760013,277362,17190063,320132,17311672,429558,14780070,4344,407837,25698,2123733,55977,4060744,146162,8448717,271370,12522288,350396,14016833,98535,8587462,10296,4700127,30905,7131408,43854,7772404,64782,8280522,82799,8512395,92035,8593300,28679838,12686330,18438205,21221988,25163342,27824940,28600484
10,DE,Delaware,435210,4352.00,21761.00,43521.0,108803.00,217605.0,326408.00,438810,202834,149872,91036,46932,23381,33154367,4768543,9509190,13254617,20789263,28011737,31730826,353783,21787572,3616,1803656,18694,4842726,37362,7433628,91471,12592411,181005,17774258,273132,20736874,139029,242147,4042,67075,17360,107807,31198,131713,64666,175712,102455,213585,122703,230676,91963,853136,3550,359232,14764,523653,25131,603624,48071,723044,71372,807215,82853,836118,58735,758287,1079,60359,4724,217248,8567,301981,18770,431462,31852,558866,42558,652175,75362,1600216,3557,974080,13787,1243277,22718,1354602,41353,1496435,59717,1573546,68560,1593268,132450,4510581,1581,140061,9360,753108,18996,1353680,47646,2687995,85367,3830027,109754,4283239,22476,1753042,2418,1201639,6435,1515455,8963,1592591,13840,1682859,18404,1737049,20802,1754039,3863538,1143778,1919910,2407637,3154593,3695745,3847251
11,DC,District of Columbia,335549,3355.00,16777.00,33555.0,83887.00,167775.0,251662.00,838692,317424,209363,107301,56546,27696,37373177,8182504,14423087,18700047,26094289,32642724,36122129,289914,25427868,2446,2540835,14001,6516176,28972,9761576,73957,15715961,149455,21340161,224474,24398687,106679,312102,3249,179022,14786,224916,27283,247591,56431,282026,84937,300001,98538,307184,81829,1136867,3040,508653,13361,777085,23972,895062,46911,1042079,67956,1105830,77005,1126713,63751,1444126,1068,385584,4896,717825,8996,906641,18892,1134239,31395,1268238,43772,1335482,71430,2904296,3067,1899305,12906,2421541,22466,2611947,42607,2803119,59941,2876839,67458,2897808,55790,2418414,1101,126819,5192,528994,9730,871222,21105,1499511,34807,2029488,46258,2308405,16685,2933023,2368,2063582,6451,2731748,8932,2838479,12498,2911452,14802,2928163,15886,2933814,6317121,2267434,3591233,4311484,5367628,6095617,6296013
